Id,Name,ShortName,Alias,IHSOperatorCode,OperatorTicker,CompanyType,CreatedBy,Created,ModifiedBy,Modified,RowVersion
77,COG OPERATING LIMITED LIABILITY CORP,COG,CONCHO,216044,CXO,PUBLIC,NULL,NULL,13,2018-05-17 20:25:02.4775196 +00:00,0x00000000000F790B
79,CONOCOPHILLIPS COMPANY,CONOCOPHILLIPS,CONOCOPHILLIPS,212844,COP,PUBLIC,NULL,NULL,13,2018-05-17 21:18:15.1513727 +00:00,0x00000000000F79DE
80,SRC ENERGY INCOPORATED,SRC,SRC,273834,SRCI,PUBLIC,NULL,NULL,13,2018-05-17 21:04:14.9625594 +00:00,0x00000000000F796B
81,MDC TEXAS OPERATOR LLC,MDC TEXAS,MDC TEXAS,264316,NULL,PRIVATE,NULL,NULL,13,2018-05-18 14:57:15.4753290 +00:00,0x00000000000F7D03
82,ENERGEN RESOURCES CORPORATION,ENERGEN,ENERGEN,171270,EGN,PUBLIC,NULL,NULL,13,2018-05-17 20:32:01.2472315 +00:00,0x00000000000F7921
83,CITIZEN ENERGY II LLC,CITIZEN,CITIZEN,266569,NULL,PRIVATE,NULL,NULL,13,2018-05-17 21:19:34.9120179 +00:00,0x00000000000F79E2
85,HIGHLANDS NATURAL RESOURCES CORPORATION,HIGHLANDS,HIGHLANDS,272321,NULL,PRIVATE,NULL,NULL,13,2018-05-18 14:43:50.1877227 +00:00,0x00000000000F7CCA
86,SLAWSON EXPLORATION COMPANY INCORPORATED,SLAWSON,SLAWSON,030944,NULL,PRIVATE,NULL,NULL,13,2018-05-17 21:09:32.8825989 +00:00,0x00000000000F798E
87,CONCHO RESOURCES INCORPORATED,CONCHO,CONCHO,135850,CXO,PUBLIC,NULL,NULL,13,2018-05-17 20:24:05.0261343 +00:00,0x00000000000F7907
88,PALOMA OPERATING COMPANY INC,PALOMA,PALOMA,025364,NULL,PRIVATE,NULL,NULL,13,2018-05-18 15:03:09.2481619 +00:00,0x00000000000F7D0C
89,HRM RESOURCES II LLC,HRM,HRM,252864,NULL,PRIVATE,NULL,NULL,13,2018-05-18 14:47:16.7961942 +00:00,0x00000000000F7CDC
93,RED ROCKS OIL & GAS OPERATING LLC,RED ROCKS,RED ROCKS,232060,NULL,PRIVATE,NULL,NULL,13,2018-05-17 21:11:51.7180720 +00:00,0x00000000000F7994
94,BEACON OIL COMPANY,BEACON OIL,BEACON OIL,002659,NULL,PRIVATE,NULL,NULL,13,2018-05-17 21:22:37.3579083 +00:00,0x00000000000F79EB
95,RSP PERMIAN,RSP PERMIAN,RSP PERMIAN,234851,RSPP,PUBLIC,NULL,NULL,13,2018-05-18 14:31:18.6977744 +00:00,0x00000000000F7CAF
96,CENTENNIAL RESOURCES,CENTENNIAL,CENTENNIAL,117949,CDEV,PUBLIC,NULL,NULL,13,2018-05-17 20:27:40.6646160 +00:00,0x00000000000F791D
97,CAPTIVA ENERGY PARTNERS LLC,CAPTIVA,CAPTIVA,275339,NULL,PRIVATE,NULL,NULL,13,2018-05-17 21:21:43.0251264 +00:00,0x00000000000F79EA
98,LIME ROCK RESOURCES II A LP,LIME ROCK,LIME ROCK,232140,NULL,PRIVATE,NULL,NULL,13,2018-05-18 14:52:08.1681418 +00:00,0x00000000000F7CED
